RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure
1,15634602,Hargrave,619,France,Female,42,2
2,15647311,Hill,608,Spain,Female,41,1
3,15619304,Onio,502,France,Female,42,8
4,15701354,Boni,699,France,Female,39,1
5,15737888,Mitchell,850,Spain,Female,43,2
6,15574012,Chu,645,Spain,Male,44,8
7,15592531,Bartlett,822,France,Male,50,7
8,15656148,Obinna,376,Germany,Female,29,4
9,15792365,He,501,France,Male,44,4
10,15592389,H?,684,France,Male,27,2
11,15767821,Bearce,528,France,Male,31,6
12,15737173,Andrews,497,Spain,Male,24,3
13,15632264,Kay,476,France,Female,34,10
14,15691483,Chin,549,France,Female,25,5
15,15600882,Scott,635,Spain,Female,35,7
16,15643966,Goforth,616,Germany,Male,45,3
17,15737452,Romeo,653,Germany,Male,58,1
18,15788218,Henderson,549,Spain,Female,24,9
19,15661507,Muldrow,587,Spain,Male,45,6
20,15568982,Hao,726,France,Female,24,6
21,15577657,McDonald,732,France,Male,41,8
22,15597945,Dellucci,636,Spain,Female,32,8
23,15699309,Gerasimov,510,Spain,Female,38,4
24,15725737,Mosman,669,France,Male,46,3
25,15625047,Yen,846,France,Female,38,5
26,15738191,Maclean,577,France,Male,25,3
27,15736816,Young,756,Germany,Male,36,2
28,15700772,Nebechi,571,France,Male,44,9
29,15728693,McWilliams,574,Germany,Female,43,3
30,15656300,Lucciano,411,France,Male,29,0
31,15589475,Azikiwe,591,Spain,Female,39,3
32,15706552,Odinakachukwu,533,France,Male,36,7
33,15750181,Sanderson,553,Germany,Male,41,9
34,15659428,Maggard,520,Spain,Female,42,6
35,15732963,Clements,722,Spain,Female,29,9
36,15794171,Lombardo,475,France,Female,45,0
37,15788448,Watson,490,Spain,Male,31,3
38,15729599,Lorenzo,804,Spain,Male,33,7
39,15717426,Armstrong,850,France,Male,36,7
40,15585768,Cameron,582,Germany,Male,41,6
41,15619360,Hsiao,472,Spain,Male,40,4
42,15738148,Clarke,465,France,Female,51,8
43,15687946,Osborne,556,France,Female,61,2
44,15755196,Lavine,834,France,Female,49,2
45,15684171,Bianchi,660,Spain,Female,61,5
46,15754849,Tyler,776,Germany,Female,32,4
47,15602280,Martin,829,Germany,Female,27,9
48,15771573,Okagbue,637,Germany,Female,39,9
49,15766205,Yin,550,Germany,Male,38,2
50,15771873,Buccho,776,Germany,Female,37,2
51,15616550,Chidiebele,698,Germany,Male,44,10
52,15768193,Trevisani,585,Germany,Male,36,5
53,15683553,O'Brien,788,France,Female,33,5
54,15702298,Parkhill,655,Germany,Male,41,8
55,15569590,Yoo,601,Germany,Male,42,1
56,15760861,Phillipps,619,France,Male,43,1
57,15630053,Tsao,656,France,Male,45,5
58,15647091,Endrizzi,725,Germany,Male,19,0
59,15623944,T'ien,511,Spain,Female,66,4
60,15804771,Velazquez,614,France,Male,51,4
61,15651280,Hunter,742,Germany,Male,35,5
62,15773469,Clark,687,Germany,Female,27,9
63,15702014,Jeffrey,555,Spain,Male,33,1
64,15751208,Pirozzi,684,Spain,Male,56,8
65,15592461,Jackson,603,Germany,Male,26,4
66,15789484,Hammond,751,Germany,Female,36,6
67,15696061,Brownless,581,Germany,Female,34,1
68,15641582,Chibugo,735,Germany,Male,43,10
69,15638424,Glauert,661,Germany,Female,35,5
70,15755648,Pisano,675,France,Female,21,8
71,15703793,Konovalova,738,Germany,Male,58,2
72,15620344,McKee,813,France,Male,29,6
73,15812518,Palermo,657,Spain,Female,37,0
74,15779052,Ballard,604,Germany,Female,25,5
75,15770811,Wallace,519,France,Male,36,9
76,15780961,Cavenagh,735,France,Female,21,1
77,15614049,Hu,664,France,Male,55,8
78,15662085,Read,678,France,Female,32,9
79,15575185,Bushell,757,Spain,Male,33,5
80,15803136,Postle,416,Germany,Female,41,10
81,15706021,Buley,665,France,Female,34,1
82,15663706,Leonard,777,France,Female,32,2
83,15641732,Mills,543,France,Female,36,3
84,15701164,Onyeorulu,506,France,Female,34,4
85,15738751,Beit,493,France,Female,46,4
86,15805254,Ndukaku,652,Spain,Female,75,10
87,15762418,Gant,750,Spain,Male,22,3
88,15625759,Rowley,729,France,Male,30,9
89,15622897,Sharpe,646,France,Female,46,4
90,15767954,Osborne,635,Germany,Female,28,3
91,15757535,Heap,647,Spain,Female,44,5
92,15731511,Ritchie,808,France,Male,45,7
93,15809248,Cole,524,France,Female,36,10
94,15640635,Capon,769,France,Male,29,8
95,15676966,Capon,730,Spain,Male,42,4
96,15699461,Fiorentini,515,Spain,Male,35,10
97,15738721,Graham,773,Spain,Male,41,9
98,15693683,Yuille,814,Germany,Male,29,8
99,15604348,Allard,710,Spain,Male,22,8
100,15633059,Fanucci,413,France,Male,34,9
101,15808582,Fu,665,France,Female,40,6
102,15743192,Hung,623,France,Female,44,6
103,15580146,Hung,738,France,Male,31,9
104,15776605,Bradley,528,Spain,Male,36,7
105,15804919,Dunbabin,670,Spain,Female,65,1
106,15613854,Mauldon,622,Spain,Female,46,4
107,15599195,Stiger,582,Germany,Male,32,1
108,15812878,Parsons,785,Germany,Female,36,2
109,15602312,Walkom,605,Spain,Male,33,5
110,15744689,T'ang,479,Germany,Male,35,9
111,15803526,Eremenko,685,Germany,Male,30,3
112,15665790,Rowntree,538,Germany,Male,39,7
113,15715951,Thorpe,562,France,Male,42,2
114,15591100,Chiemela,675,Spain,Male,36,9
115,15609618,Fanucci,721,Germany,Male,28,9
116,15675522,Ko,628,Germany,Female,30,9
117,15705512,Welch,668,Germany,Female,37,6
118,15698028,Duncan,506,France,Female,41,1
119,15661670,Chidozie,524,Germany,Female,31,8
120,15600781,Wu,699,Germany,Male,34,4
121,15682472,Culbreth,828,France,Male,34,8
122,15580203,Kennedy,674,Spain,Male,39,6
123,15690673,Cameron,656,France,Female,39,6
124,15760085,Calabresi,684,Germany,Female,48,10
125,15779659,Zetticci,625,France,Female,28,3
126,15627360,Fuller,432,France,Male,42,9
127,15671137,MacDonald,549,France,Female,52,1
128,15782688,Piccio,625,Germany,Male,56,0
129,15575492,Kennedy,828,France,Female,41,7
130,15591607,Fernie,770,France,Male,24,9
131,15740404,He,758,France,Female,34,3
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9
133,15677871,Cocci,687,France,Male,38,9
134,15642004,Alekseeva,686,France,Male,25,1
135,15712543,Chinweike,789,Germany,Male,39,7
136,15584518,Arthur,589,Germany,Female,50,5
137,15802381,Li,461,Germany,Female,34,5
138,15610156,Ma,637,France,Male,40,2
139,15594408,Chia,584,Spain,Female,48,2
140,15640905,Vasin,579,Spain,Female,35,1
141,15698932,Groves,756,Germany,Male,44,10
142,15724944,Tien,663,France,Male,34,7
143,15628145,Forwood,682,France,Female,43,5
144,15713483,Greeves,793,Spain,Male,52,2
145,15612350,Taylor,691,France,Female,31,5
146,15800703,Madukwe,485,Spain,Female,21,5
147,15705707,Bennelong,635,Spain,Female,29,8
148,15754105,Olisanugo,650,France,Male,37,5
149,15703264,Chukwufumnanya,735,France,Male,44,9
150,15794413,Harris,416,France,Male,32,0
151,15650237,Morgan,754,Spain,Female,32,7
152,15759618,Alexeeva,535,France,Female,48,9
153,15811589,Metcalfe,716,Spain,Male,42,8
154,15689044,Humphries,539,France,Male,37,2
155,15709368,Milne,614,France,Female,43,6
156,15679145,Chou,706,Spain,Male,57,7
157,15655007,Li,758,France,Female,33,7
158,15623595,Clayton,586,Spain,Female,28,2
159,15589975,Maclean,646,France,Female,73,6
160,15804017,Chigolum,631,Germany,Female,33,4
161,15692132,Wilkinson,717,Spain,Female,22,6
162,15641122,Wei,684,France,Male,30,2
163,15630910,Treacy,800,France,Female,49,7
164,15680772,Hu,721,Spain,Female,36,2
165,15658929,Taverner,683,Spain,Male,29,0
166,15585388,Sherman,660,Germany,Male,31,9
167,15724623,Taubman,704,Germany,Female,24,7
168,15588537,Robinson,615,Spain,Female,41,9
169,15574692,Pinto,667,Spain,Female,39,2
170,15611325,Wood,682,Germany,Male,24,9
171,15587562,Hawkins,484,France,Female,29,4
172,15613172,Sun,628,Germany,Male,27,5
173,15651022,Yost,480,Germany,Male,44,10
174,15586310,Ting,578,France,Male,30,4
175,15625524,Rowe,512,France,Male,40,5
176,15755209,Fu,484,Spain,Female,35,7
177,15645248,Ho,510,France,Female,30,0
178,15790355,Okechukwu,606,Germany,Male,36,5
179,15762615,Campbell,597,Spain,Female,40,8
180,15625426,Ashbolt,754,Germany,Female,55,3
181,15716334,Rozier,850,Spain,Female,45,2
182,15789669,Hsia,510,France,Male,65,2
183,15621075,Ogbonnaya,778,Germany,Female,45,1
184,15810845,T'ang,636,France,Male,42,2
185,15719377,Cocci,804,France,Female,50,4
186,15654506,Chang,514,France,Male,32,8
187,15771977,T'ao,730,France,Female,39,1
188,15708710,Ford,525,Spain,Female,37,0
189,15726676,Marshall,616,Spain,Male,30,5
190,15587421,Tsai,687,Germany,Female,34,7
191,15726931,Onwumelu,715,France,Female,41,8
192,15771086,Graham,512,France,Female,36,3
193,15756850,Golovanov,479,France,Male,40,1
194,15702741,Potts,601,France,Male,32,8
195,15679200,Crawford,580,Spain,Male,29,9
196,15594815,Aleshire,807,France,Male,35,3
197,15635905,Moran,616,Spain,Female,32,6
198,15777892,Samsonova,721,Germany,Male,37,3
199,15656176,Jenkins,501,France,Male,57,10
200,15811127,Volkov,521,France,Male,35,6
201,15604482,Chiemezie,850,Spain,Male,30,2
202,15622911,Jude,759,France,Male,42,4
203,15600974,He,516,Spain,Male,50,5
204,15727868,Onuora,711,France,Female,38,2
205,15627801,Ginikanwa,512,Spain,Male,33,3
206,15773039,Ku,550,France,Male,37,3
207,15755262,McDonald,608,Spain,Female,41,3
208,15679531,Collins,618,France,Male,34,5
209,15684181,Hackett,643,France,Male,45,5
210,15612087,Dike,671,France,Male,45,2
211,15752047,Trevisano,689,Germany,Male,33,2
212,15624592,Tan,603,France,Male,31,8
213,15573152,Glassman,620,France,Female,41,9
214,15594917,Miller,676,France,Female,34,1
215,15785542,Kornilova,572,Germany,Male,26,4
216,15723488,Watson,668,Germany,Male,47,7
217,15680920,Marchesi,695,France,Male,46,7
218,15786308,Millar,730,Spain,Female,33,9
219,15659366,Shih,807,France,Male,43,1
220,15774854,Fuller,592,France,Male,54,8
221,15725311,Hay,726,France,Female,31,9
222,15787155,Yang,514,Spain,Male,30,7
223,15727829,McIntyre,567,France,Male,42,2
224,15733247,Stevenson,850,France,Male,33,10
225,15568748,Poole,671,Germany,Male,45,6
226,15699029,Bagley,670,France,Male,37,4
227,15774393,Ch'ien,694,France,Female,30,9
228,15676895,Cattaneo,547,Germany,Female,39,6
229,15637753,O'Sullivan,751,Germany,Male,50,2
230,15605461,Lucas,594,Germany,Female,29,3
231,15808473,Ringrose,673,France,Male,72,1
232,15627000,Freeman,610,France,Male,40,0
233,15787174,Sergeyev,512,France,Female,37,1
234,15723886,Fiore,767,Germany,Male,20,3
235,15704769,Smith,585,France,Female,67,5
236,15772896,Dumetochukwu,763,Germany,Male,42,6
237,15711540,Pacheco,712,France,Female,29,2
238,15764866,Synnot,539,Germany,Female,43,3
239,15794056,Johnston,668,France,Female,46,2
240,15795149,Stevens,703,France,Male,28,2
241,15812009,Grant,662,Spain,Male,38,4
242,15651001,Tsao,725,Germany,Female,39,5
243,15813844,Barnes,703,France,Male,37,8
244,15596175,McIntosh,659,Germany,Male,67,6
245,15576269,Madison,523,Spain,Male,34,7
246,15797219,Ifesinachi,635,France,Female,40,10
247,15685500,Glazkov,772,Germany,Male,26,7
248,15599792,Dimauro,545,France,Female,26,1
249,15657566,Wieck,634,Germany,Male,24,8
250,15772423,Liao,739,Germany,Male,54,8
251,15628112,Hughes,771,Germany,Female,36,5
252,15753754,Morrison,587,Spain,Female,34,1
253,15793726,Matveyeva,681,France,Female,79,0
254,15694717,Ku,544,Germany,Male,37,2
255,15665834,Cheatham,696,Spain,Male,28,8
256,15765297,Yao,766,Spain,Male,41,0
257,15636684,Kirkland,727,France,Male,34,10
258,15592979,Rose,671,Germany,Female,34,6
259,15750803,Jess,693,France,Female,30,6
260,15607178,Welch,850,Germany,Male,38,3
261,15713853,Ifeajuna,732,Germany,Male,42,9
262,15673481,Morton,726,Spain,Female,48,6
263,15686776,Rossi,557,France,Female,32,6
264,15673693,Reppert,682,France,Female,26,0
265,15700696,Kang,738,Spain,Male,31,9
266,15813163,Ch'iu,531,Spain,Female,36,9
267,15653857,Wallis,498,France,Male,34,2
268,15777076,Clark,651,France,Male,36,7
269,15717398,Fielding,549,Spain,Female,39,7
270,15799217,Zetticci,791,Germany,Female,35,7
271,15787071,Dulhunty,650,Spain,Male,41,9
272,15619955,Bevington,733,Germany,Male,34,3
273,15796505,Boyle,811,Germany,Female,34,1
274,15725166,Newton,707,France,Male,30,8
275,15800116,Bowman,712,Germany,Male,28,4
276,15758685,Dubinina,706,Spain,Female,37,7
277,15694456,Toscani,756,France,Male,62,3
278,15767339,Chiazagomekpere,777,France,Female,53,10
279,15683562,Allen,646,France,Male,35,6
280,15782210,K'ung,714,France,Male,46,1
281,15668893,Wilsmore,782,France,Male,39,8
282,15669169,Hargreaves,775,Spain,Male,29,10
283,15643024,Huang,479,Germany,Male,35,4
284,15699389,Ch'ien,807,France,Male,42,7
285,15708608,Wallwork,799,France,Female,22,8
286,15626144,Chu,675,France,Male,40,7
287,15573112,Kang,602,Spain,Male,29,5
288,15790678,Davidson,475,France,Female,32,8
289,15727556,O'Donnell,744,Spain,Female,26,5
290,15697307,Nnachetam,588,Spain,Male,34,10
291,15652266,Chidiebele,703,Germany,Male,42,9
292,15607098,Ahmed,747,Spain,Female,41,5
293,15655774,Booth,583,France,Male,27,7
294,15590241,Chuang,750,Spain,Female,34,9
295,15785819,Shao,681,France,Male,38,3
296,15723654,Tsao,773,France,Male,25,2
297,15774510,Tien,714,France,Female,31,4
298,15684173,Chang,687,Spain,Female,44,7
299,15650068,Johnson,511,France,Male,58,0
300,15811490,French,627,France,Male,33,5
301,15803976,Efremov,694,France,Female,31,10
302,15682541,Hartley,616,Spain,Female,36,6
303,15695699,Calabrese,687,France,Male,35,8
304,15624188,Chiu,712,France,Female,33,6
305,15812191,Brennan,553,France,Male,33,4
306,15636673,Onwuatuegwu,667,France,Male,31,1
307,15594898,Hewitt,731,France,Male,43,2
308,15660211,Shih,629,Germany,Male,35,7
309,15773972,Balashov,614,France,Male,50,4
310,15746726,Doyle,438,Germany,Male,31,8
311,15712287,Pokrovskii,652,France,Female,80,4
312,15702919,Collins,729,Germany,Male,30,6
313,15674398,Russo,642,France,Male,38,3
314,15797960,Skinner,806,Germany,Female,59,0
315,15631868,Robertson,744,Spain,Male,36,2
316,15581539,Atkinson,474,Spain,Male,37,3
